အမည်,ပါတီအမည်,ပါတီအမည်(အင်္ဂလိပ်ဘာသာ),အုပ်ချုပ်ရေးစနစ်,သမ္မတသတ်တမ်းရက်ဖြင့်
စဝ်ရွှေသိုက်,ဖဆပလ,AFPFL,ပါလီမန်ဒီမိုကရေစီ,1529
ဒေါက်တာ ဘဦး,ဖဆပလ,AFPFL,ပါလီမန်ဒီမိုကရေစီ,1825
မန်းဝင်းမောင်,ဖဆပလ,AFPFL,ပါလီမန်ဒီမိုကရေစီ,1815
နေဝင်း,မဆလ,BSPP,ဆိုရှယ်လစ်,2809
စန်းယု,မဆလ,BSPP,ဆိုရှယ်လစ်,2450
စိန်လွင်,မဆလ,BSPP,ဆိုရှယ်လစ်,16
အေးကို,မဆလ,BSPP,ဆိုရှယ်လစ်,7
ဒေါက်တာ မောင်မောင်,မဆလ,BSPP,ဆိုရှယ်လစ်,30
သိန်းစိန်,ပြည်ခိုင်ဖြိုး,USDP,ပါတီစုံဒီမိုကရေစီ,1827
ထင်ကျော်,ဒီချုပ်,NLD,ပါတီစုံဒီမိုကရေစီ,721
ဝင်းမြင့်,ဒီချုပ်,NLD,ပါတီစုံဒီမိုကရေစီ,1008
